classroom,workload,appearance,colleagues,parents,grading,preparation,autonomy
0.98283095,0.921786813,0.631388908,0.378934173,-0.580568067,-1.16959714,-0.770599643,-0.269342722
0.602614623,0.524566695,0.342806496,0.605142026,0.861665897,1.131901977,1.367559013,-0.758207547
0.475875848,0.127346577,0.19851529,0.378934173,0.573219104,-1.498382728,1.011199237,-1.247072371
0.222398297,-0.667093659,0.487097702,-0.525897237,-0.292121274,0.145545213,-0.057880091,-1.247072371
0.602614623,1.186600225,0.19851529,1.283765583,1.438559482,1.460687565,0.654839461,2.174981401
0.98283095,1.054193519,0.054224084,1.283765583,1.438559482,-0.183240376,-1.126959419,0.219522103
0.095659522,-0.402280247,-0.667231947,-0.073481532,-1.734355238,-1.16959714,-0.414239867,2.174981401
0.602614623,0.127346577,0.631388908,-0.978312942,-0.003674481,-0.183240376,-0.414239867,-0.269342722
-0.791511906,0.789380107,-0.234358328,-0.073481532,-0.003674481,0.474330801,-0.057880091,0.219522103
0.095659522,0.656973401,-0.667231947,-0.525897237,-0.580568067,0.145545213,-0.057880091,-0.269342722
0.222398297,0.127346577,-0.234358328,-0.525897237,-0.86901486,-0.840811552,1.011199237,-1.247072371
0.729353399,0.392159989,0.775680115,0.831349878,1.15011269,0.474330801,1.011199237,0.219522103
1.109569725,1.716227049,1.208553733,1.283765583,1.438559482,1.789473153,1.723918789,1.686116577
0.602614623,0.524566695,1.208553733,0.152726321,0.284772311,0.145545213,0.298479685,0.219522103
-0.157818029,-1.196720483,-0.378649535,-0.752105089,0.861665897,-1.16959714,0.298479685,-0.269342722
0.602614623,0.524566695,-0.522940741,-0.073481532,0.573219104,0.474330801,0.298479685,-0.758207547
0.602614623,0.921786813,0.19851529,1.057557731,1.438559482,1.460687565,1.723918789,0.219522103
-0.41129558,-0.799500365,-0.811523153,-0.978312942,-1.445908445,-0.840811552,-1.483319195,-1.247072371
0.349137072,1.451413637,0.775680115,0.378934173,1.15011269,1.789473153,1.011199237,-0.269342722
0.729353399,-0.799500365,0.054224084,-1.204520794,-0.580568067,-0.183240376,-0.057880091,-0.758207547
0.729353399,-0.799500365,-0.378649535,-0.299689384,0.284772311,0.145545213,0.654839461,-0.269342722
0.222398297,0.789380107,0.487097702,0.605142026,-0.292121274,-0.183240376,0.654839461,-0.758207547
0.222398297,0.392159989,-0.090067122,-0.299689384,-0.003674481,0.474330801,-0.414239867,-1.247072371
0.602614623,-0.269873541,0.342806496,0.831349878,0.284772311,-1.16959714,-0.057880091,-0.269342722
-0.284556805,0.524566695,-0.090067122,-0.525897237,-0.003674481,-0.840811552,0.298479685,-1.735937196
-1.932160885,-0.137466835,-1.821561596,-1.430728647,0.284772311,0.474330801,-0.057880091,1.197251752
-1.171728233,-0.402280247,-0.811523153,-0.978312942,-0.580568067,-0.512025964,0.298479685,-0.758207547
-0.538034356,-0.402280247,-0.234358328,-0.525897237,-0.86901486,-0.840811552,-0.414239867,-0.758207547
-2.312377211,-1.461533895,-1.244396772,-1.656936499,-1.157461652,-1.498382728,-0.770599643,-0.269342722
0.602614623,0.789380107,0.487097702,1.057557731,-0.86901486,-0.183240376,1.723918789,0.219522103
-1.298467008,-1.991160719,-2.543017627,-0.299689384,-1.445908445,-1.16959714,-1.126959419,-1.735937196
-0.41129558,-0.269873541,-0.667231947,-0.978312942,-0.86901486,-0.512025964,-0.414239867,-0.758207547
-0.791511906,-1.461533895,-0.378649535,-1.204520794,-0.292121274,-1.16959714,-0.770599643,-0.269342722
-0.918250682,-0.402280247,0.054224084,0.152726321,-2.022802031,0.803116389,0.654839461,-1.247072371
-0.538034356,0.789380107,0.19851529,0.152726321,-0.580568067,-0.840811552,-1.483319195,-0.758207547
-1.80542211,-1.196720483,-1.532979184,-2.109352204,-2.022802031,-1.827168316,-1.126959419,-1.735937196
0.095659522,-0.005060129,-0.955814359,-0.299689384,0.284772311,0.145545213,-0.770599643,-0.269342722
0.729353399,-0.402280247,-0.090067122,0.378934173,-0.580568067,-0.183240376,0.654839461,-0.269342722
0.349137072,-0.269873541,0.342806496,0.605142026,1.15011269,-0.183240376,0.654839461,0.219522103
-3.959981292,-2.25597413,-2.831600039,-3.240391467,-3.176589202,-2.155953904,-2.552398523,-1.735937196
-0.41129558,-0.269873541,-1.532979184,-0.752105089,0.284772311,-0.183240376,-1.126959419,-0.269342722
-0.284556805,0.789380107,-0.378649535,-0.752105089,-0.86901486,-1.16959714,-0.770599643,-0.758207547
